"id","wms_sku_id","name","image_url","codes","dimensions_mm","weight_g","picking_preset","deleted","trajectory_preset","last_modified","wms_turnover_prediction_day","wms_turnover_prediction_week","wms_turnover_prediction_month","is_pickable_only_by_hupi"
257,"1384126","Dukat Multifruit","https://cdn.rohlik.cz/images/grocery/products/1402166/1402166-1606761044150.jpg","{5900396019110,5900396019400}","{70,130,50}",60,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
262,"1422988","Akinu Tréninkové kostky pro psy – kachna","https://cdn.rohlik.cz/images/grocery/products/1409957/1409957-1622729862413.jpg","{8595184952778,8595184952761}","{200,140,20}",130,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
239,"900312","Flapjack brusinka","https://cdn.rohlik.cz/images/grocery/products/1287049/1287049-1499860321.jpg","{8594025570232,8594025570256}","{27,53,139}",70,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
242,"900414","Nutrend DeNuts kešu+mandle","https://cdn.rohlik.cz/images/grocery/products/1287249/1287249-1470932041.jpg","{8594073173362,18594073173369}","{15,61,116}",40,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
261,"907182","Racio Knäckebrot multigrain","https://cdn.rohlik.cz/images/grocery/products/1306479/1306479-1458247975.jpg","{8595573400361,8595573451073}","{172,96,97}",316,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
245,"944373","Wrigley's Orbit Bubblemint žvýkačky bez cukru","https://cdn.rohlik.cz/images/grocery/products/1357597/1357597-1562565030.jpg","{4009900517119,4009900517102}","{168,90,15}",60,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
277,"1292802","Brit Mono protein Konzerva pro psy – krůtí","https://cdn.rohlik.cz/images/grocery/products/1383897/1383897-1596010531.jpg","{8595602555406,8595602525478,8595602531530,8595602525393}","{110,72,72}",462,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
237,"1422043","Haribo Happy Cola želé s příchutí coly","https://cdn.rohlik.cz/images/grocery/products/1409768/1409768-1620977969599.jpg","{9002975323352,9002975323369}","{145,118,10}",100,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
267,"1429868","Marks & Spencer Dýňovo-batátová polévka s parmezánem","https://cdn.rohlik.cz/images/grocery/products/1411333/1411333-1625260122388.jpg","{1686008162741,00816274}","{115,75,75}",436,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
209,"901122","Vitana Natur bujón hovězí 3l (6×10g)","https://cdn.rohlik.cz/images/grocery/products/1289741/1289741-1622405529031.jpg","{8593837032792,8593837243297}","{16,59,78}",70,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
289,"903420","MAGGI Magic Asia Smažené nudle Teriyaki","https://cdn.rohlik.cz/images/grocery/products/1297521/1297521-1624962814652.jpg","{8585002433732,8585002433725}","{43,160,217}",140,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
281,"905184","Linteo Vlhčené úklidové ubrousky kuchyňské","https://cdn.rohlik.cz/images/grocery/products/1301785/pickingImages/1301785-1637942738596.jpg","{8594008878331,8594008878973}","{110,235,35}",220,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
280,"907548","Linteo Premium Vatové polštářky maxi ovály se stříbrem","https://cdn.rohlik.cz/images/grocery/products/1307365/1307365-1459969718.jpg","{8594158374073,8594158374066}","{130,70,90}",50,NULL,False,NULL,"2022-10-24 19:28:16.830796+02",NULL,NULL,NULL,False
